EHRProductVersion,AttestationID,ProviderID,ProductClassification,PaymentYear,ProviderType,ProgramYear,Specialty,ProductSetting,ProgramType,BusinessState/Territory,VendorName,EHRProductName,AttestationYear,AttestationMonth
9.5.1,126911,139,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,TX,McKesson,Practice Partner,2012,11
4.13.0,115327,140,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,AZ,"gMed, Inc.",gGastro,2012,1
4.16.2,189418,140,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,AZ,"gMed, Inc.",gGastro,2013,1
5.6 SP1,34631,141,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,NC,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
10.5,179293,142,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,OR,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2012,11
2,186152,143,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,CA,Dignity Health,Dignity Health Ambulatory EHR,2012,12
11.2,24726,144,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CO,Allscripts,Allscripts Enterprise EHR,2012,9
9,12928,145,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MA,eClinicalWorks LLC,eClinicalWorks,2012,11
9,10758,146,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,NY,eClinicalWorks LLC,eClinicalWorks,2012,8
8,110952,147,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,MI,"Addison Health Systems, Inc.",WritePad,2013,1
5.6 SP1,28185,148,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2012,1
11.2,25141,149,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,MI,Allscripts,Allscripts Enterprise EHR,2012,11
2,138464,150,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,CA,Practice Fusion,Practice Fusion,2012,10
9.5,41595,151,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,NY,GE Healthcare,Centricity EMR,2012,2
X11,84324,152,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,TX,"MicroFour, Inc.",PracticeStudio,2013,1
4,108266,153,Complete EHR,1,EP,2011,UROLOGY,Ambulatory,Medicare,OH,Intuitive Medical Software,UroChartEHR,2012,2
9,13745,154,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IL,eClinicalWorks LLC,eClinicalWorks,2012,12
5.6 SP1,31431,155,Complete EHR,1,EP,2012,RHEUMATOLOGY,Ambulatory,Medicare,MD,NextGen Healthcare,NextGen Ambulatory EHR,2012,8
6,111394,156,Complete EHR,1,EP,2012,NEPHROLOGY,Ambulatory,Medicare,TX,Health IT Services Group,Acumen EHR,2012,11
2010,62799,157,Complete EHR,1,EP,2012,ANESTHESIOLOGY,Ambulatory,Medicare,NY,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
Summer 2009,93835,158,Complete EHR,1,EP,2011,MEDICAL ONCOLOGY,Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,1
2,186135,159,Complete EHR,1,EP,2012,ENDOCRINOLOGY,Ambulatory,Medicare,CA,Dignity Health,Dignity Health Ambulatory EHR,2012,12
2010,54867,160,Complete EHR,1,EP,2012,CRITICAL CARE (INTENSIVISTS),Ambulatory,Medicare,MN,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,11
v7,155277,161,Complete EHR,2,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AZ,Sage,Sage Intergy Meaningful Use Edition,2013,1
v7,154941,161,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AZ,Sage,Sage Intergy Meaningful Use Edition,2012,1
5.6 SP1,29220,162,Complete EHR,1,EP,2011,RHEUMATOLOGY,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2012,2
3.6.0,67598,163,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,AZ,Office Ally,EHR 24/7,2012,9
Summer 2009,90381,164,Complete EHR,1,EP,2011,INFECTIOUS DISEASE,Ambulatory,Medicare,NH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
5.6 SP1,30657,165,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,KS,NextGen Healthcare,NextGen Ambulatory EHR,2012,7
2012.M10.18,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M11.22,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M09.16,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M09.16,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M08.13,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2 Clinical Desktop,2013,1
2012.M09.20,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M08.16,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M11.16,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M08.13,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2 Clinical Desktop,2013,1
2012.M10.25,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M08.16,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M09.20,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.23,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.17,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M09.21,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.18,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M11.16,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M09.21,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.23,192339,166,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.17,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
2012.M10.25,192339,166,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,UT,Intermountain Healthcare,HELP2,2013,1
7,46355,167,Complete EHR,1,EP,2011,NEPHROLOGY,Ambulatory,Medicare,GA,"e-MDs, Inc.",e-MDs Solution Series,2011,11
Summer 2009,91033,168,Complete EHR,1,EP,2011,PEDIATRIC MEDICINE,Ambulatory,Medicare,TX,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2011,11
5.6 SP1,36364,169,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,TX,NextGen Healthcare,NextGen Ambulatory EHR,2013,1
7.5,77040,170,Complete EHR,1,EP,2011,INTERVENTIONAL PAIN MANAGEMENT,Ambulatory,Medicare,NY,"MedInformatix, Inc",MedInformatix,2012,1
3,125364,171,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,NC,Crowell Systems,Medformix XXV,2013,1
1.1.1.6,193564,172,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,CO,First Insight Corp,MaximEyes SQL Electronic Health Records,2013,1
5.1.1,322,173,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,FL,Sammy Systems,SammyEHR,2012,2
v5.5,153023,174,Complete EHR,1,EP,2012,PODIATRY,Ambulatory,Medicare,TN,MD Logic EMR,MD Logic World Wide EMR,2012,10
7,46745,175,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,FL,"e-MDs, Inc.",e-MDs Solution Series,2012,6
2010,58522,176,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,CA,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2013,1
5.7,179920,177,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,NM,NextGen Healthcare,NextGen Ambulatory EHR,2012,12
9.5,78781,178,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,FL,GE Healthcare,Centricity Practice Solution,2012,2
9.5,79726,178,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,FL,GE Healthcare,Centricity Practice Solution,2013,1
7.2,150986,179,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,AZ,"e-MDs, Inc.",e-MDs Solution Series,2013,1
4,151458,180,Complete EHR,1,EP,2012,ANESTHESIOLOGY,Ambulatory,Medicare,TX,UT MD Anderson Cancer Center,ClinicStation,2013,1
4,108401,181,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,SC,Intuitive Medical Software,UroChartEHR,2012,9
10,1142,182,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,RI,Compulink,Advantage/EHR,2011,12
9.5,42734,183,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,FL,GE Healthcare,Centricity EMR,2012,7
6.9,185823,184,Complete EHR,1,EP,2012,ANESTHESIOLOGY,Inpatient,Medicare,MN,GE Healthcare,"Centricity Enterprise (CE) 6.9, including Enterprise Orders, Gemini Orders, CE M",2013,1
V12.0,185823,184,Modular EHR,1,EP,2012,ANESTHESIOLOGY,Ambulatory,Medicare,MN,GE Healthcare,Centricity Patient Online,2013,1
6.9,185823,184,Complete EHR,1,EP,2012,ANESTHESIOLOGY,Ambulatory,Medicare,MN,GE Healthcare,Centricity Enterprise,2013,1
2012.08,190455,185,Modular EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,NJ,Cerner Corporation,HealthSentry,2013,1
2012.01.08,190455,185,Modular EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,NJ,Cerner Corporation,"Powerchart, Cerner Healthe and IQHealth",2013,1
10,120287,186,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,FL,GE Healthcare,Centricity Practice Solution,2012,4
7.5,77508,187,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,NY,"MedInformatix, Inc",MedInformatix,2012,12
LMR 9.0,132194,188,Complete EHR,1,EP,2012,NEUROLOGY,Ambulatory,Medicare,MA,Partners Healthcare System,Partners Longitudinal Medical Record,2013,1
10,1041,189,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,NC,Compulink,Advantage/EHR,2011,12
10,1890,190,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,KS,Compulink,Advantage/EHR,2012,9
3,112012,191,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,OH,Crystal Practice Management,Crystal Practice Management,2013,1
Version 4,180814,192,Modular EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,dbMotion Inc.,dbMotion,2013,1
11.2,180814,192,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,CA,Allscripts,Allscripts Enterprise EHR,2013,1
10.5,180501,193,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,NE,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
10.6,180501,193,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,NE,Eyefinity/OfficeMate,OfficeMate/ExamWRITER,2013,1
9.2.2,145867,194,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,NC,Allscripts,Allscripts Professional EHR,2013,1
9.2.2,144242,194,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,NC,Allscripts,Allscripts Professional EHR,2011,12
2011,23179,195,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,GA,"Greenway Medical Technologies, Inc.",PrimeSuite,2013,1
9.5,76434,196,Complete EHR,2,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,MO,McKesson,Practice Partner,2013,1
9.5,76250,196,Complete EHR,1,EP,2011,GENERAL SURGERY,Ambulatory,Medicare,MO,McKesson,Practice Partner,2012,2
4.16.1,180348,197,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,MD,"gMed, Inc.",gGastro,2012,11
11.2,156696,198,Complete EHR,1,EP,2012,EMERGENCY MEDICINE,Ambulatory,Medicare,NC,Allscripts,Allscripts Enterprise EHR,2012,4
6,122301,199,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,CA,"Data Strategies, Inc.",MDsuite,2012,11
5.6 SP1,142697,200,Complete EHR,1,EP,2012,RADIATION ONCOLOGY,Ambulatory,Medicare,OH,NextGen Healthcare,NextGen Ambulatory EHR,2012,10
2.3,142697,200,Complete EHR,1,EP,2012,RADIATION ONCOLOGY,Ambulatory,Medicare,OH,"Elekta - IMPAC Medical Systems, Inc.",MOSAIQ,2012,10
version 5.3,182446,201,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,FL,"One Healthcare Solution, Inc.",M5,2012,12
10.8,75280,202,Complete EHR,1,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,NY,"MCS - Medical Communication Systems, Inc.",iPatientCare,2012,12
10,1428,203,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,MA,Compulink,Advantage/EHR,2012,1
2010,50590,204,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,OH,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,7
11.2,158665,205,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,SC,Allscripts,Allscripts Enterprise EHR,2012,12
8.1,143647,206,Complete EHR,1,EP,2011,OPHTHALMOLOGY,Ambulatory,Medicare,NJ,"MDoffice, Inc.",MDoffice,2012,1
8.1,143834,206,Complete EHR,2,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NJ,"MDoffice, Inc.",MDoffice,2013,1
LMR 9.0,132321,207,Complete EHR,1,EP,2012,DIAGNOSTIC RADIOLOGY,Ambulatory,Medicare,MA,Partners Healthcare System,Partners Longitudinal Medical Record,2013,1
4.1.0.1144,147320,208,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,AZ,Dox-Starwriter,Dox EMR,2012,2
9,147320,208,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,AZ,"Acrendo Software, Inc.",A.I.Med Pro,2012,2
2012,174740,209,Complete EHR,1,EP,2012,ALLERGY/IMMUNOLOGY,Ambulatory,Medicare,FL,"SOAPware, Inc.",SOAPware,2012,7
1.1.0.0,129454,210,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,MD,First Insight Corp,MaximEyes SQL Electronic Health Records,2012,12
8.1,143853,211,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,NJ,"MDoffice, Inc.",MDoffice,2013,1
v10.0,174557,212,Complete EHR,1,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,NC,Allscripts,Allscripts MyWay EHR,2012,8
5.3.0,153283,213,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,IA,Advanced Medical Information Solutions,easyEMR,2011,9
Version 6.0,153283,213,Modular EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,IA,"AppMed, Inc.",AppMed EMR,2011,9
4.13.0,115375,214,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,MD,"gMed, Inc.",gGastro,2012,2
7.6,81540,215,Complete EHR,1,EP,2012,OPHTHALMOLOGY,Ambulatory,Medicare,OK,Medflow,Medflow E HR,2012,11
2010,53865,216,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,10
2011,22679,217,Complete EHR,2,EP,2012,OTOLARYNGOLOGY,Ambulatory,Medicare,NC,"Greenway Medical Technologies, Inc.",PrimeSuite,2013,1
2011,18716,217,Complete EHR,1,EP,2011,OTOLARYNGOLOGY,Ambulatory,Medicare,NC,"Greenway Medical Technologies, Inc.",PrimeSuite,2011,10
5.6.5,127184,218,Complete EHR,1,EP,2012,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,CO,LSS Data Systems,Medical and Practice Management (MPM) Client Server,2013,1
11.2,167137,219,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TN,Allscripts,Allscripts Enterprise EHR,2012,1
11.2,167229,219,Complete EHR,2,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TN,Allscripts,Allscripts Enterprise EHR,2013,1
11.2,167137,219,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TN,Allscripts,Allscripts Enterprise EHR,2012,1
11.2,167229,219,Complete EHR,2,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,TN,Allscripts,Allscripts Enterprise EHR,2013,1
v10.0,154298,220,Complete EHR,1,EP,2011,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,PA,Allscripts,Allscripts MyWay EHR,2012,2
LMR 9.0,132135,221,Complete EHR,1,EP,2012,SPORTS MEDICINE,Ambulatory,Medicare,MA,Partners Healthcare System,Partners Longitudinal Medical Record,2013,1
5.6 SP1,26419,222,Complete EHR,1,EP,2011,PULMONARY DISEASE,Ambulatory,Medicare,FL,NextGen Healthcare,NextGen Ambulatory EHR,2011,9
11.2,24908,223,Complete EHR,1,EP,2012,GENERAL PRACTICE,Ambulatory,Medicare,OH,Allscripts,Allscripts Enterprise EHR,2012,10
9.2,73938,224,Complete EHR,1,EP,2012,INFECTIOUS DISEASE,Ambulatory,Medicare,IL,Allscripts,Allscripts Professional EHR,2012,4
19.5,64842,225,Complete EHR,1,EP,2011,RHEUMATOLOGY,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2011,9
9,15270,226,Complete EHR,2,EP,2012,GASTROENTEROLOGY,Ambulatory,Medicare,VA,eClinicalWorks LLC,eClinicalWorks,2013,1
9,7187,226,Complete EHR,1,EP,2011,GASTROENTEROLOGY,Ambulatory,Medicare,VA,eClinicalWorks LLC,eClinicalWorks,2012,1
5.3.0,142131,227,Complete EHR,1,EP,2011,OPTOMETRY,Ambulatory,Medicare,VA,"Health Innovation Technologies, Inc.",RevolutionEHR,2011,12
5.3.0,142300,227,Complete EHR,2,EP,2012,OPTOMETRY,Ambulatory,Medicare,VA,"Health Innovation Technologies, Inc.",RevolutionEHR,2013,1
9.5,78235,228,Complete EHR,1,EP,2011,NEUROSURGERY,Ambulatory,Medicare,AZ,GE Healthcare,Centricity Practice Solution,2011,11
9.5,79497,228,Complete EHR,2,EP,2012,NEUROSURGERY,Ambulatory,Medicare,AZ,GE Healthcare,Centricity Practice Solution,2013,1
4,177345,229,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,"MedSeek, Inc.",eHealth ecoSystem,2012,10
V11.2,177345,229,Modular EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,MI,Allscripts,Allscripts Enterprise EHR,2012,10
7.5.10,105057,230,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,GA,"GEMMS, Inc.",GEMMS ONE,2012,5
5.5,107486,231,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,CA,"Prime Clinical Systems, Inc.",Patient Chart Manager,2012,2
Summer 2009,96951,232,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,WI,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,6
11.2,134120,233,Complete EHR,1,EP,2012,UROLOGY,Ambulatory,Medicare,TX,Allscripts,Allscripts Enterprise EHR,2012,6
6.2,72619,234,Complete EHR,2,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,PA,Sage,Sage Intergy Meaningful Use Edition,2013,1
6.2,71725,234,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,PA,Sage,Sage Intergy Meaningful Use Edition,2012,2
v6.4,182161,235,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,NY,McKesson,iKnowMed EHR,2012,8
6.3,182161,235,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,NY,US Oncology,iKnowMed EHR,2012,8
Summer 2009,101390,236,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Inpatient,Medicare,AL,Epic Systems Corporation,EpicCare Inpatient - Core EMR,2012,12
9.2.2,145289,237,Complete EHR,1,EP,2012,PULMONARY DISEASE,Ambulatory,Medicare,PA,Allscripts,Allscripts Professional EHR,2012,10
9.5,40894,238,Complete EHR,1,EP,2011,FAMILY PRACTICE,Ambulatory,Medicare,VA,GE Healthcare,Centricity EMR,2012,2
11.2,24040,239,Complete EHR,1,EP,2012,PHYSICAL MEDICINE AND REHABILITATION,Ambulatory,Medicare,GA,Allscripts,Allscripts Enterprise EHR,2012,6
2,140804,240,Complete EHR,2,EP,2012,INTERVENTIONAL PAIN MANAGEMENT,Ambulatory,Medicare,FL,Practice Fusion,Practice Fusion,2013,1
2,135902,240,Complete EHR,1,EP,2011,INTERVENTIONAL PAIN MANAGEMENT,Ambulatory,Medicare,FL,Practice Fusion,Practice Fusion,2011,7
2010,57225,241,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,IL,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2012,12
2011,152219,242,Complete EHR,1,EP,2012,CHIROPRACTIC,Ambulatory,Medicare,NY,"MPN Software Systems, Inc.",ECLIPSE,2012,10
Version 10 MR2,129746,243,Complete EHR,1,EP,2012,HEMATOLOGY/ONCOLOGY,Ambulatory,Medicare,CA,Varian Medical Systems,ARIA for Medical Oncology,2012,9
v7,155173,244,Complete EHR,1,EP,2012,FAMILY PRACTICE,Ambulatory,Medicare,IA,Sage,Sage Intergy Meaningful Use Edition,2012,12
9.2,73270,245,Complete EHR,1,EP,2011,OBSTETRICS/GYNECOLOGY,Ambulatory,Medicare,NJ,Allscripts,Allscripts Professional EHR,2011,11
9.5.2,149148,246,Complete EHR,1,EP,2012,GENERAL SURGERY,Ambulatory,Medicare,IL,McKesson,Practice Partner,2012,12
3,85085,247,Complete EHR,1,EP,2011,OSTEOPATHIC MANIPULATIVE MEDICINE,Ambulatory,Medicare,CA,HealthFusion,MediTouch EHR,2012,1
1.1.1.5,189259,248,Complete EHR,1,EP,2012,OPTOMETRY,Ambulatory,Medicare,FL,First Insight Corp,MaximEyes SQL Electronic Health Records,2012,11
11.2,157706,249,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,PA,Allscripts,Allscripts Enterprise EHR,2012,10
10,120543,250,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,AZ,GE Healthcare,Centricity Practice Solution,2012,9
2011,38463,251,Complete EHR,1,EP,2012,CARDIOVASCULAR DISEASE (CARDIOLOGY),Ambulatory,Medicare,FL,"Aprima Medical Software, Inc",Aprima,2012,4
10,120738,252,Complete EHR,1,EP,2012,ORTHOPEDIC SURGERY,Ambulatory,Medicare,TX,GE Healthcare,Centricity Practice Solution,2012,11
2.3,123136,253,Complete EHR,1,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,FL,"Elekta - IMPAC Medical Systems, Inc.",MOSAIQ,2012,7
19.5,67298,254,Complete EHR,2,EP,2012,DERMATOLOGY,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2013,1
19.5,65191,254,Complete EHR,1,EP,2011,DERMATOLOGY,Ambulatory,Medicare,PA,"Community Computer Service, Inc.",MEDENT,2011,11
6.2,71409,255,Complete EHR,1,EP,2011,PODIATRY,Ambulatory,Medicare,FL,Sage,Sage Intergy Meaningful Use Edition,2011,12
12.2,165087,256,Complete EHR,1,EP,2011,ORTHOPEDIC SURGERY,Ambulatory,Medicare,TX,"athenahealth, Inc",athenaClinicals,2012,2
2011.12,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.01.08,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.01.04,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
2012.04,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.08,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.01.01,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,"Powerworks, Cerner Healthe and Cerner Patient Portal",2013,1
2012.06`,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2010.01.18,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,"Powerworks, Cerner Healthe and IQHealth",2013,1
2012.1,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.01,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
2012.07,190201,257,Modular EHR,2,EP,2012,INTERNAL MEDICINE,Ambulatory,Medicare,TX,Cerner Corporation,HealthSentry,2013,1
